group,name,model,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,mode,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,pub_hbm_util_pct,pub_tps_bs1,calib_hbm_err_pct,wall_s,peak_rss_mb,status
2a_hbm_bw,bw1.0TB_dec,1b,hbm_bw=1.0 TB/s (TPUv4) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,1.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
2a_hbm_bw,bw2.0TB_pd,1b,hbm_bw=2.0 TB/s (A100/default) [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
2a_hbm_bw,bw2.0TB_dec,1b,hbm_bw=2.0 TB/s (A100/default) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
2a_hbm_bw,bw3.35TB_pd,1b,hbm_bw=3.35 TB/s (H100) [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,3.35,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
2a_hbm_bw,bw3.35TB_dec,1b,hbm_bw=3.35 TB/s (H100) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,3.35,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
2b_hbm_lat,lat50_pd,1b,hbm_lat=50 cycles [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,50,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
2b_hbm_lat,lat50_dec,1b,hbm_lat=50 cycles [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,50,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
2b_hbm_lat,lat100_pd,1b,hbm_lat=100 cycles [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,100,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
2b_hbm_lat,lat100_dec,1b,hbm_lat=100 cycles [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,100,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
2b_hbm_lat,lat200_pd,1b,hbm_lat=200 cycles [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
